model_name,cv_f1_mean,cv_f1_std,accuracy,precision,recall,f1_score,roc_auc,false_negative,false_positive,false_negative_rate
LogisticRegression,0.7713023006577735,0.001982805620024774,0.8569277108433735,0.7484276729559748,0.8360655737704918,0.7898230088495575,0.9170775640909008,70,120,0.16393442622950818
RandomForest,0.7601914367834791,0.01312095721766543,0.8697289156626506,0.7886363636363637,0.8126463700234192,0.8004613610149942,0.9199939177650645,80,93,0.1873536299765808
SVM,0.7659718047642865,0.010622989565898758,0.8614457831325302,0.7793103448275862,0.7939110070257611,0.7865429234338747,0.9071549436353571,88,96,0.20608899297423888
XGBoost,0.7596549045664701,0.009262977760512712,0.8659638554216867,0.8233766233766234,0.7423887587822015,0.7807881773399015,0.9145238051917334,110,68,0.2576112412177986
